date,equity,cash,day_pl,cum_pl,pct_of_start,positions
2026-08-07,10000,10000,0,0,100,flat
2026-08-07,9997.33,-9346.27,-2.67,-2.67,100,TQQQ:261
2026-08-07,10038.59,-9346.27,38.59,38.59,100.4,TQQQ:261
2026-08-10,9973.97,-1943.04,-116.42,-26.03,99.7,TQQQ:161
2026-08-10,9932.32,-1943.04,-158.07,-67.68,99.3,TQQQ:161
2026-08-11,9802.53,-1943.23,-136.04,-197.47,98,TQQQ:161
2026-08-11,9844.95,-1943.23,-93.62,-155.05,98.4,TQQQ:161
2026-08-12,10075.42,-1943.23,255.99,75.42,100.8,TQQQ:161
2026-08-12,10038.39,-1943.23,218.96,38.39,100.4,TQQQ:161
2026-08-13,10490.8,-1943.23,423.43,490.8,104.9,TQQQ:161
2026-08-13,10484.36,-1943.23,416.99,484.36,104.8,TQQQ:161
2026-08-14,10374.88,-1943.23,-103.04,374.88,103.7,TQQQ:161
2026-08-14,10405.47,-1943.23,-72.45,405.47,104.1,TQQQ:161
2026-08-17,10378.91,-1943.23,-41.05,378.91,103.8,TQQQ:161
2026-08-17,10355.56,-1943.23,-64.4,355.56,103.6,TQQQ:161
2026-08-18,9755.03,-1943.23,-602.14,-244.97,97.6,TQQQ:161
2026-08-18,9730.17,-1943.23,-627,-269.83,97.3,TQQQ:161
2026-08-19,9667.29,-1943.23,-66.81,-332.71,96.7,TQQQ:161
2026-08-19,9677.49,-1943.23,-56.61,-322.51,96.8,TQQQ:161
2026-08-20,9400.83,-1943.23,-257.6,-599.17,94,TQQQ:161
2026-08-20,9416.95,-1943.23,-241.48,-583.05,94.2,TQQQ:161
2026-08-21,9533.66,-1943.23,129.61,-466.34,95.3,TQQQ:161
2026-08-21,9519.17,-1943.23,115.12,-480.83,95.2,TQQQ:161
2026-08-24,9190.74,-1831.29,-324.4,-809.26,91.9,SQQQ:275
2026-08-24,9218.21,-1831.29,-296.93,-781.79,92.2,SQQQ:275
2026-08-25,9062.56,-1831.57,-158.12,-937.44,90.6,SQQQ:275
2026-08-25,9026.81,-1831.57,-193.87,-973.19,90.3,SQQQ:275
2026-08-26,8985.56,-1831.57,-34.37,-1014.44,89.9,SQQQ:275
2026-08-26,8678.93,-1831.57,-341,-1321.07,86.8,SQQQ:275
2026-08-27,8619.07,-1657.72,-378.86,-1380.93,86.2,TQQQ:141
2026-08-28,8657.84,-1657.72,-340.09,-1342.16,86.6,TQQQ:141
2026-08-28,8470.21,-1665.81,-207.08,-1529.79,84.7,SQQQ:263
2026-08-29,8470.21,-1665.81,-207.08,-1529.79,84.7,SQQQ:263
2026-08-31,8494.95,-1666.06,24.99,-1505.05,84.9,SQQQ:263
2026-08-31,8475.61,-1666.06,5.65,-1524.39,84.8,SQQQ:263
2026-09-01,8855.26,-1666.06,393.19,-1144.74,88.6,SQQQ:263
2026-09-01,8853.94,-1666.06,391.87,-1146.06,88.5,SQQQ:263
2026-09-02,8792.14,-1666.06,-53.91,-1207.86,87.9,SQQQ:263
2026-09-02,8785.56,-1666.06,-60.49,-1214.44,87.9,SQQQ:263
2026-09-03,8419.99,-1666.06,-357.68,-1580.01,84.2,SQQQ:263
2026-09-03,8430.48,-1666.06,-347.19,-1569.52,84.3,SQQQ:263
2026-09-04,8404.2,-1628.81,-13.16,-1595.8,84,TQQQ:139
